PDS_acc	target_acc	biosample_acc	gencoll_acc
PDS000019917.54	PDT001221977.1	SAMN17256258	GCA_021589025.1
PDS000019917.54	PDT001235660.3	SAMN25538141	GCA_021822325.2
PDS000019917.54	PDT001339936.1	SAMEA8270518	NULL
PDS000019917.54	PDT001339942.1	SAMEA8270524	NULL
PDS000019917.54	PDT001342209.1	SAMN15663277	GCA_023904265.1
PDS000019917.54	PDT001342242.1	SAMN20514476	GCA_023904035.1
PDS000019917.54	PDT001342256.1	SAMN20514446	GCA_023914445.1
PDS000019917.54	PDT001344132.1	SAMN27566183	GCA_023949355.1
PDS000019917.54	PDT001344518.1	SAMN27565994	GCA_023939525.1
PDS000019917.54	PDT001345884.1	SAMN24018659	GCA_023938585.1
PDS000019917.54	PDT001346107.1	SAMN24018436	GCA_023921105.1
PDS000019917.54	PDT001346189.1	SAMN24018405	GCA_023919985.1
PDS000019917.54	PDT001346283.1	SAMN24018343	GCA_023943355.1
PDS000019917.54	PDT001346284.1	SAMN24018342	GCA_023918925.1
PDS000019917.54	PDT001346307.1	SAMN24018321	GCA_023944395.1
PDS000019917.54	PDT001346325.1	SAMN24018715	GCA_023918145.1
PDS000019917.54	PDT001346330.1	SAMN24018711	GCA_023918165.1
PDS000019917.54	PDT001346559.1	SAMN11110430	NULL
PDS000019917.54	PDT001373670.1	SAMN30031171	GCA_024530035.1
PDS000019917.54	PDT001388916.1	SAMN24861716	NULL
PDS000019917.54	PDT001406421.1	SAMN30313639	GCA_024835845.1
PDS000019917.54	PDT001416244.1	SAMN26554410	GCA_025152995.1
PDS000019917.54	PDT001416246.1	SAMN26554408	GCA_025153405.1
PDS000019917.54	PDT001436897.1	SAMN28578953	GCA_025456475.1
PDS000019917.54	PDT001436899.1	SAMN28578949	GCA_025456545.1
PDS000019917.54	PDT001436903.1	SAMN28578939	GCA_025456615.1
PDS000019917.54	PDT001436904.1	SAMN28578940	GCA_025456625.1
PDS000019917.54	PDT001436907.1	SAMN28578935	GCA_025456705.1
PDS000019917.54	PDT001436910.1	SAMN28578934	GCA_025456715.1
PDS000019917.54	PDT001436914.1	SAMN28578946	GCA_025459495.1
PDS000019917.54	PDT001436915.1	SAMN28578948	GCA_025459485.1
PDS000019917.54	PDT001480880.1	SAMN31654610	GCA_026077785.1
PDS000019917.54	PDT001480882.1	SAMN31654608	GCA_026081065.1
PDS000019917.54	PDT001490716.1	SAMN31699442	GCA_026239915.1
PDS000019917.54	PDT001490717.1	SAMN31699440	GCA_026239935.1
PDS000019917.54	PDT001490718.1	SAMN31699441	GCA_026239955.1
PDS000019917.54	PDT001491373.1	SAMEA9800691	NULL
PDS000019917.54	PDT001491376.1	SAMEA9800694	NULL
PDS000019917.54	PDT001491377.1	SAMEA9800697	NULL
PDS000019917.54	PDT001491379.1	SAMEA9800699	NULL
PDS000019917.54	PDT001491424.1	SAMEA9800714	NULL
PDS000019917.54	PDT001491425.1	SAMEA9800715	NULL
PDS000019917.54	PDT001491449.1	SAMEA9800726	NULL
PDS000019917.54	PDT001491495.1	SAMEA9800743	NULL
PDS000019917.54	PDT001491520.1	SAMEA9800752	NULL
PDS000019917.54	PDT001491521.1	SAMEA9800756	NULL
PDS000019917.54	PDT001491612.1	SAMEA9800728	NULL
PDS000019917.54	PDT001491749.1	SAMEA9800680	NULL
PDS000019917.54	PDT001491752.1	SAMEA9800684	NULL
PDS000019917.54	PDT001491753.1	SAMEA9800685	NULL
PDS000019917.54	PDT001505272.1	SAMN31933593	GCA_026532655.1
PDS000019917.54	PDT001573123.1	SAMN32676895	NULL
PDS000019917.54	PDT001600161.1	SAMN31932864	GCA_026531255.2
PDS000019917.54	PDT001600162.1	SAMN31932862	GCA_026531595.2
PDS000019917.54	PDT001600163.1	SAMN31932863	GCA_026531615.2
PDS000019917.54	PDT001612772.1	SAMN33101465	GCA_028594375.1
PDS000019917.54	PDT001618359.1	SAMN33023108	GCA_028448065.2
PDS000019917.54	PDT001632607.1	SAMN33282577	GCA_028737335.1
PDS000019917.54	PDT001682378.1	SAMN25231120	GCA_029603365.1
PDS000019917.54	PDT001682379.1	SAMN25231122	GCA_029603375.1
PDS000019917.54	PDT001682380.1	SAMN25231123	GCA_029603405.1
PDS000019917.54	PDT001682412.1	SAMN25231157	GCA_029604045.1
PDS000019917.54	PDT001682413.1	SAMN25231158	GCA_029604065.1
PDS000019917.54	PDT001682415.1	SAMN25231161	GCA_029604105.1
PDS000019917.54	PDT001682430.1	SAMN25231174	GCA_029604395.1
PDS000019917.54	PDT001682432.1	SAMN25231177	GCA_029604445.1
PDS000019917.54	PDT001682433.1	SAMN25231179	GCA_029604465.1
PDS000019917.54	PDT001682434.1	SAMN25231180	GCA_029604485.1
PDS000019917.54	PDT001682435.1	SAMN25231175	GCA_029604505.1
PDS000019917.54	PDT001682438.1	SAMN25231182	GCA_029604535.1
PDS000019917.54	PDT001682446.1	SAMN25231192	GCA_029604725.1
PDS000019917.54	PDT001682449.1	SAMN25231194	GCA_029604785.1
PDS000019917.54	PDT001682455.1	SAMN25231200	GCA_029604905.1
PDS000019917.54	PDT001682460.1	SAMN25231201	GCA_029605005.1
PDS000019917.54	PDT001682468.1	SAMN25231213	GCA_029605155.1
PDS000019917.54	PDT001682471.1	SAMN25231216	GCA_029605225.1
PDS000019917.54	PDT001682472.1	SAMN25231219	GCA_029605245.1
PDS000019917.54	PDT001682475.1	SAMN25231218	GCA_029605295.1
PDS000019917.54	PDT001682505.1	SAMN25231108	GCA_029605905.1
PDS000019917.54	PDT001682514.1	SAMN25231129	GCA_029606065.1
PDS000019917.54	PDT001689439.1	SAMN34174901	GCA_029736955.1
PDS000019917.54	PDT001695825.1	SAMN30525566	GCA_029835795.1
PDS000052679.12	PDT000441879.1	SAMEA104077044	NULL
PDS000052679.12	PDT000619033.1	SAMN12768894	GCA_021708735.1
PDS000052679.12	PDT000632465.1	SAMEA5378758	NULL
PDS000052679.12	PDT000632623.1	SAMEA5378926	NULL
PDS000052679.12	PDT000632625.1	SAMEA5378928	NULL
PDS000052679.12	PDT000632727.1	SAMEA5377847	NULL
PDS000052679.12	PDT000632728.1	SAMEA5377848	NULL
PDS000052679.12	PDT000632839.1	SAMEA5377964	NULL
PDS000052679.12	PDT000632842.1	SAMEA5377967	NULL
PDS000052679.12	PDT000632872.1	SAMEA5377997	NULL
PDS000052679.12	PDT000632875.1	SAMEA5378002	NULL
PDS000052679.12	PDT000633357.1	SAMEA5378319	NULL
PDS000052679.12	PDT000633634.1	SAMEA5378589	NULL
PDS000052679.12	PDT000633636.1	SAMEA5378591	NULL
PDS000052679.12	PDT000633712.1	SAMEA5377998	NULL
PDS000052679.12	PDT000633713.1	SAMEA5378000	NULL
PDS000052679.12	PDT000633714.1	SAMEA5378121	NULL
PDS000052679.12	PDT000633715.1	SAMEA5378134	NULL
PDS000052679.12	PDT000633716.1	SAMEA5378156	NULL
PDS000052679.12	PDT000633717.1	SAMEA5378157	NULL
PDS000052679.12	PDT000633718.1	SAMEA5378192	NULL
PDS000052679.12	PDT000633726.1	SAMEA5378887	NULL
PDS000052679.12	PDT000633727.1	SAMEA5378888	NULL
PDS000052679.12	PDT000633743.1	SAMEA4938485	NULL
PDS000052679.12	PDT000633745.1	SAMEA4938487	NULL
PDS000052679.12	PDT000633781.1	SAMEA4938411	NULL
PDS000052679.12	PDT000633966.1	SAMEA4938716	NULL
PDS000052679.12	PDT000633974.1	SAMEA4938720	NULL
PDS000052679.12	PDT000634163.1	SAMEA4938921	NULL
PDS000052679.12	PDT000634167.1	SAMEA4938923	NULL
PDS000052679.12	PDT000634232.1	SAMEA4938410	NULL
PDS000052679.12	PDT000634234.1	SAMEA4938427	NULL
PDS000052679.12	PDT000634244.1	SAMEA4938819	NULL
PDS000052679.12	PDT000686138.1	SAMN12251043	GCA_010604625.1
PDS000052679.12	PDT000745428.1	SAMEA5161519	NULL
PDS000052679.12	PDT000745468.1	SAMEA5161435	NULL
PDS000052679.12	PDT000745558.1	SAMEA5161469	NULL
PDS000052679.12	PDT000745566.1	SAMEA5161635	NULL
PDS000052679.12	PDT000745573.1	SAMEA5161643	NULL
PDS000052679.12	PDT000745574.1	SAMEA5161645	NULL
PDS000052679.12	PDT000746262.1	SAMEA5161907	NULL
PDS000052679.12	PDT000746344.1	SAMEA5162033	NULL
PDS000052679.12	PDT000746390.1	SAMEA5162152	NULL
PDS000052679.12	PDT000746402.1	SAMEA5162155	NULL
PDS000052679.12	PDT000746489.1	SAMEA5162406	NULL
PDS000052679.12	PDT000746521.1	SAMEA5162416	NULL
PDS000052679.12	PDT000746878.1	SAMEA5161909	NULL
PDS000052679.12	PDT000746882.1	SAMEA5161937	NULL
PDS000052679.12	PDT000746886.1	SAMEA5161939	NULL
PDS000052679.12	PDT000746894.1	SAMEA5161991	NULL
PDS000052679.12	PDT000746910.1	SAMEA5162041	NULL
PDS000052679.12	PDT000746918.1	SAMEA5162073	NULL
PDS000052679.12	PDT000746922.1	SAMEA5162079	NULL
PDS000052679.12	PDT000746930.1	SAMEA5162104	NULL
PDS000052679.12	PDT000746934.1	SAMEA5162105	NULL
PDS000052679.12	PDT000746949.1	SAMEA5162159	NULL
PDS000052679.12	PDT000746969.1	SAMEA5162178	NULL
PDS000052679.12	PDT000746973.1	SAMEA5162179	NULL
PDS000052679.12	PDT000746981.1	SAMEA5162189	NULL
PDS000052679.12	PDT000746985.1	SAMEA5162191	NULL
PDS000052679.12	PDT000747009.1	SAMEA5162249	NULL
PDS000052679.12	PDT000747013.1	SAMEA5162252	NULL
PDS000052679.12	PDT000747049.1	SAMEA5161404	NULL
PDS000052679.12	PDT000747050.1	SAMEA5162349	NULL
PDS000052679.12	PDT000747054.1	SAMEA5162353	NULL
PDS000052679.12	PDT000747058.1	SAMEA5162382	NULL
PDS000052679.12	PDT000747061.1	SAMEA5161437	NULL
PDS000052679.12	PDT000747070.1	SAMEA5162389	NULL
PDS000052679.12	PDT000747073.1	SAMEA5161466	NULL
PDS000052679.12	PDT000747075.1	SAMEA5162392	NULL
PDS000052679.12	PDT000747079.1	SAMEA5162409	NULL
PDS000052679.12	PDT000747083.1	SAMEA5162412	NULL
PDS000052679.12	PDT000747087.1	SAMEA5162449	NULL
PDS000052679.12	PDT000747091.1	SAMEA5162450	NULL
PDS000052679.12	PDT000747095.1	SAMEA5162463	NULL
PDS000052679.12	PDT000747099.1	SAMEA5162466	NULL
PDS000052679.12	PDT000747102.1	SAMEA5161664	NULL
PDS000052679.12	PDT000747103.1	SAMEA5162513	NULL
PDS000052679.12	PDT000747106.1	SAMEA5161666	NULL
PDS000052679.12	PDT000747107.1	SAMEA5162517	NULL
PDS000052679.12	PDT000747110.1	SAMEA5161670	NULL
PDS000052679.12	PDT000747114.1	SAMEA5161671	NULL
PDS000052679.12	PDT000747121.1	SAMEA5161699	NULL
PDS000052679.12	PDT000747125.1	SAMEA5161701	NULL
PDS000052679.12	PDT000747137.1	SAMEA5161710	NULL
PDS000052679.12	PDT000747141.1	SAMEA5161711	NULL
PDS000052679.12	PDT000747145.1	SAMEA5161712	NULL
PDS000052679.12	PDT000747149.1	SAMEA5161715	NULL
PDS000052679.12	PDT000747153.1	SAMEA5161716	NULL
PDS000052679.12	PDT000747157.1	SAMEA5161724	NULL
PDS000052679.12	PDT000747183.1	SAMEA5163069	NULL
PDS000052679.12	PDT000747187.1	SAMEA5163071	NULL
PDS000052679.12	PDT000747190.1	SAMEA5161781	NULL
PDS000052679.12	PDT000747198.1	SAMEA5161786	NULL
PDS000052679.12	PDT000747199.1	SAMEA5163116	NULL
PDS000052679.12	PDT000747206.1	SAMEA5161798	NULL
PDS000052679.12	PDT000747207.1	SAMEA5163134	NULL
PDS000052679.12	PDT000747210.1	SAMEA5161802	NULL
PDS000052679.12	PDT000747214.1	SAMEA5161820	NULL
PDS000052679.12	PDT000747218.1	SAMEA5161822	NULL
PDS000052679.12	PDT000747219.1	SAMEA5163159	NULL
PDS000052679.12	PDT000747222.1	SAMEA5161824	NULL
PDS000052679.12	PDT000747226.1	SAMEA5161827	NULL
PDS000052679.12	PDT000771274.1	SAMD00034940	GCA_021672835.1
PDS000052679.12	PDT000771276.1	SAMD00034942	GCA_021672755.1
PDS000052679.12	PDT000771284.1	SAMD00034950	GCA_021672695.1
PDS000052679.12	PDT000771285.1	SAMD00034951	GCA_021672615.1
PDS000052679.12	PDT000771286.1	SAMD00034952	GCA_021672575.1
PDS000052679.12	PDT000771290.1	SAMD00034956	GCA_021672515.1
PDS000052679.12	PDT000771292.1	SAMD00034958	GCA_021672455.1
PDS000052679.12	PDT000771293.1	SAMD00034959	GCA_021672495.1
PDS000052679.12	PDT000771295.1	SAMD00034961	GCA_021672415.1
PDS000052679.12	PDT000771297.1	SAMD00034963	GCA_021672315.1
PDS000052679.12	PDT000771300.1	SAMD00034966	GCA_021672335.1
PDS000052679.12	PDT001010956.1	SAMD00256234	GCA_021663335.1
PDS000052679.12	PDT001010957.1	SAMD00256235	GCA_021663315.1
PDS000052679.12	PDT001010964.1	SAMD00256242	GCA_021663295.1
PDS000052679.12	PDT001210828.1	SAMEA7087646	NULL
PDS000052679.12	PDT001322233.1	SAMN28842373	NULL
PDS000052679.12	PDT001471558.1	SAMN31263412	GCA_025922245.1
PDS000052679.12	PDT001471585.1	SAMN31263401	GCA_025922045.1
PDS000052679.12	PDT001481807.1	SAMD00444574	GCA_026012875.1
PDS000052679.12	PDT001648437.1	SAMN33193785	GCA_028904995.1
PDS000118130.3	PDT001422786.1	SAMN24547543	GCA_025234955.1
PDS000118130.3	PDT001422789.1	SAMN24547552	GCA_025235015.1
PDS000118130.3	PDT001422793.1	SAMN24547525	GCA_025235105.1
PDS000118130.3	PDT001422794.1	SAMN24547527	GCA_025235125.1
PDS000118130.3	PDT001422795.1	SAMN24547524	GCA_025235145.1
PDS000118130.3	PDT001422796.1	SAMN24547523	GCA_025235155.1
PDS000118130.3	PDT001422798.1	SAMN24547522	GCA_025235205.1
PDS000118130.3	PDT001422800.1	SAMN24547518	GCA_025235245.1
PDS000118130.3	PDT001422801.1	SAMN24547519	GCA_025235265.1
PDS000118130.3	PDT001422802.1	SAMN24547517	GCA_025235285.1
PDS000118130.3	PDT001422803.1	SAMN24547516	GCA_025235305.1
PDS000118130.3	PDT001422804.1	SAMN24547515	GCA_025235325.1
PDS000118130.3	PDT001422806.1	SAMN24547513	GCA_025235365.1
PDS000118130.3	PDT001422809.1	SAMN24547509	GCA_025235425.1
PDS000118130.3	PDT001422810.1	SAMN24547510	GCA_025235445.1
PDS000118130.3	PDT001422811.1	SAMN24547508	GCA_025235465.1
PDS000118130.3	PDT001422812.1	SAMN24547507	GCA_025235485.1
PDS000118130.3	PDT001422813.1	SAMN24547506	GCA_025235505.1
PDS000118130.3	PDT001422814.1	SAMN24547505	GCA_025235515.1
PDS000118130.3	PDT001422815.1	SAMN24547503	GCA_025235545.1
PDS000118130.3	PDT001422817.1	SAMN24547501	GCA_025235585.1
PDS000118130.3	PDT001422818.1	SAMN24547500	GCA_025235605.1
PDS000118130.3	PDT001422819.1	SAMN24547502	GCA_025235625.1
PDS000118130.3	PDT001422820.1	SAMN24547499	GCA_025235645.1
PDS000118130.3	PDT001422821.1	SAMN24547498	GCA_025235665.1
PDS000118130.3	PDT001422823.1	SAMN24547496	GCA_025235705.1
PDS000118130.3	PDT001422825.1	SAMN24547493	GCA_025235745.1
PDS000118130.3	PDT001422827.1	SAMN24547494	GCA_025235785.1
PDS000118130.3	PDT001422830.1	SAMN24547491	GCA_025235845.1
PDS000118130.3	PDT001422831.1	SAMN24547487	GCA_025235865.1
PDS000118130.3	PDT001422832.1	SAMN24547488	GCA_025235875.1
PDS000118130.3	PDT001422835.1	SAMN24547485	GCA_025235945.1
PDS000118130.3	PDT001422836.1	SAMN24547483	GCA_025235965.1
PDS000118130.3	PDT001422837.1	SAMN24547481	GCA_025235985.1
PDS000118130.3	PDT001422838.1	SAMN24547482	GCA_025236005.1
PDS000118130.3	PDT001422841.1	SAMN24547479	GCA_025236065.1
PDS000118130.3	PDT001422843.1	SAMN24547476	GCA_025236095.1
PDS000118130.3	PDT001422847.1	SAMN24547471	GCA_025236185.1
PDS000118130.3	PDT001422849.1	SAMN24547470	GCA_025236225.1
PDS000118130.3	PDT001422851.1	SAMN24547469	GCA_025236265.1
PDS000118130.3	PDT001422853.1	SAMN24547465	GCA_025236295.1
PDS000118130.3	PDT001422854.1	SAMN24547466	GCA_025236325.1
PDS000118130.3	PDT001422857.1	SAMN24547463	GCA_025236355.1
PDS000118130.3	PDT001422860.1	SAMN24547458	GCA_025236445.1
PDS000118130.3	PDT001422861.1	SAMN24547457	GCA_025236465.1
PDS000118130.3	PDT001422862.1	SAMN24547459	GCA_025236485.1
PDS000118130.3	PDT001422864.1	SAMN24547455	GCA_025236515.1
PDS000118130.3	PDT001422867.1	SAMN24547451	GCA_025236595.1
PDS000118130.3	PDT001422869.1	SAMN24547450	GCA_025236625.1
PDS000118130.3	PDT001422870.1	SAMN24547449	GCA_025236645.1
PDS000118130.3	PDT001422872.1	SAMN24547447	GCA_025236685.1
PDS000118130.3	PDT001422874.1	SAMN24547445	GCA_025236725.1
PDS000118130.3	PDT001422875.1	SAMN24547444	GCA_025236745.1
PDS000118130.3	PDT001422876.1	SAMN24547443	GCA_025236765.1
PDS000118130.3	PDT001422877.1	SAMN24547442	GCA_025236785.1
PDS000118130.3	PDT001422878.1	SAMN24547440	GCA_025236805.1
PDS000118130.3	PDT001422879.1	SAMN24547439	GCA_025236815.1
PDS000118130.3	PDT001422880.1	SAMN24547441	GCA_025236845.1
PDS000118130.3	PDT001422882.1	SAMN24547437	GCA_025236885.1
PDS000118130.3	PDT001422883.1	SAMN24547435	GCA_025236905.1
PDS000118130.3	PDT001422884.1	SAMN24547436	GCA_025236925.1
PDS000118130.3	PDT001422885.1	SAMN24547433	GCA_025236945.1
PDS000118130.3	PDT001422886.1	SAMN24547434	GCA_025236975.1
PDS000118130.3	PDT001422888.1	SAMN24547431	GCA_025237005.1
PDS000118130.3	PDT001422890.1	SAMN24547427	GCA_025237045.1
PDS000118130.3	PDT001422892.1	SAMN24547429	GCA_025237075.1
PDS000118130.3	PDT001422895.1	SAMN24547425	GCA_025237145.1
PDS000118130.3	PDT001422897.1	SAMN24547423	GCA_025237185.1
PDS000118130.3	PDT001422898.1	SAMN24547421	GCA_025237205.1
PDS000118130.3	PDT001422901.1	SAMN24547417	GCA_025237265.1
PDS000118130.3	PDT001422902.1	SAMN24547418	GCA_025237285.1
PDS000118130.3	PDT001422904.1	SAMN24547415	GCA_025237325.1
PDS000118130.3	PDT001422905.1	SAMN24547414	GCA_025237345.1
PDS000118130.3	PDT001422907.1	SAMN24547413	GCA_025237385.1
PDS000118130.3	PDT001422908.1	SAMN24547411	GCA_025237405.1
PDS000118130.3	PDT001422909.1	SAMN24547410	GCA_025237425.1
PDS000118130.3	PDT001422910.1	SAMN24547409	GCA_025237445.1
PDS000118130.3	PDT001422911.1	SAMN24547408	GCA_025237465.1
PDS000118130.3	PDT001422912.1	SAMN24547407	GCA_025237485.1
PDS000118130.3	PDT001422913.1	SAMN24547406	GCA_025237505.1
PDS000118130.3	PDT001422914.1	SAMN24547405	GCA_025237525.1
PDS000118130.3	PDT001422915.1	SAMN24547403	GCA_025237545.1
PDS000118130.3	PDT001422917.1	SAMN24547402	GCA_025237585.1
PDS000118130.3	PDT001422918.1	SAMN24547401	GCA_025237605.1
PDS000118130.3	PDT001422919.1	SAMN24547400	GCA_025237625.1
PDS000118130.3	PDT001422920.1	SAMN24547399	GCA_025237645.1
PDS000118130.3	PDT001422921.1	SAMN24547398	GCA_025237665.1
PDS000118130.3	PDT001422922.1	SAMN24547397	GCA_025237685.1
PDS000118130.3	PDT001422923.1	SAMN24547396	GCA_025237705.1
PDS000118130.3	PDT001422924.1	SAMN24547395	GCA_025237735.1
PDS000118130.3	PDT001422925.1	SAMN24547393	GCA_025237725.1
PDS000118130.3	PDT001422927.1	SAMN24547391	GCA_025237785.1
PDS000118130.3	PDT001422928.1	SAMN24547392	GCA_025237805.1
PDS000118130.3	PDT001422929.1	SAMN24547390	GCA_025237825.1
PDS000118130.3	PDT001422931.1	SAMN24547386	GCA_025237865.1
PDS000118130.3	PDT001422932.1	SAMN24547387	GCA_025237875.1
PDS000118130.3	PDT001422933.1	SAMN24547388	GCA_025237885.1
PDS000118130.3	PDT001422936.1	SAMN24547381	GCA_025237965.1
PDS000118130.3	PDT001422937.1	SAMN24547382	GCA_025237975.1
PDS000118130.3	PDT001422938.1	SAMN24547383	GCA_025237985.1
PDS000118130.3	PDT001422941.1	SAMN24547377	GCA_025238065.1
PDS000118130.3	PDT001422946.1	SAMN24547373	GCA_025238165.1
PDS000118130.3	PDT001422948.1	SAMN24547369	GCA_025238205.1
PDS000118130.3	PDT001422949.1	SAMN24547371	GCA_025238225.1
PDS000118130.3	PDT001422950.1	SAMN24547370	GCA_025238245.1
PDS000118130.3	PDT001422952.1	SAMN24547561	GCA_025238285.1
PDS000118130.3	PDT001422954.1	SAMN24547563	GCA_025238325.1
PDS000118130.3	PDT001422955.1	SAMN24547559	GCA_025238345.1
PDS000118130.3	PDT001422956.1	SAMN24547558	GCA_025238365.1
PDS000118130.3	PDT001422957.1	SAMN24547557	GCA_025238375.1
PDS000118130.3	PDT001422963.1	SAMN24547553	GCA_025238495.1
PDS000118130.3	PDT001422964.1	SAMN24547549	GCA_025238525.1
PDS000118130.3	PDT001422965.1	SAMN24547547	GCA_025238545.1
PDS000118130.3	PDT001422966.1	SAMN24547548	GCA_025238565.1
PDS000118130.3	PDT001422970.1	SAMN24547535	GCA_025238645.1
PDS000118130.3	PDT001422973.1	SAMN24547533	GCA_025238705.1
PDS000118130.3	PDT001422974.1	SAMN24547534	GCA_025238725.1
PDS000118130.3	PDT001422976.1	SAMN24547532	GCA_025238765.1
PDS000118130.3	PDT001422978.1	SAMN24547529	GCA_025238795.1
PDS000118130.3	PDT001422979.1	SAMN24547528	GCA_025238825.1
PDS000118130.3	PDT001456121.1	SAMN24562915	GCA_025736955.1
PDS000118130.3	PDT001456122.1	SAMN24562916	GCA_025736975.1
PDS000010406.22	PDT000013587.2	SAMN02393806	GCA_000287875.1
PDS000010406.22	PDT000016173.1	SAMN02469367	GCA_000439855.1
PDS000010406.22	PDT000016174.1	SAMN02469364	GCA_000439875.1
PDS000010406.22	PDT000037674.1	SAMN02870863	GCA_000743405.1
PDS000010406.22	PDT000096354.1	SAMN04128571	GCA_001450985.1
PDS000010406.22	PDT000096365.1	SAMN04128588	GCA_001451205.1
PDS000010406.22	PDT000096448.1	SAMN04128701	GCA_001452865.1
PDS000010406.22	PDT000126972.1	SAMN04589231	GCA_001618925.1
PDS000010406.22	PDT000140323.1	SAMN03774891	GCA_001687285.1
PDS000010406.22	PDT000188272.1	SAMN05721778	GCA_001997195.1
PDS000010406.22	PDT000383142.1	SAMN04452261	GCA_003585045.1
PDS000010406.22	PDT000383155.1	SAMN04452260	GCA_003585285.1
PDS000010406.22	PDT000424939.1	SAMEA3856677	GCA_900636755.1
PDS000010406.22	PDT000920794.1	SAMN16357210	GCA_016126955.1
PDS000010406.22	PDT001196626.1	SAMEA9552212	GCA_021610525.1
PDS000010406.22	PDT001211877.1	SAMN12125823	GCA_021591905.1
PDS000010406.22	PDT001211878.1	SAMN12125824	GCA_021591865.1
PDS000010406.22	PDT001257064.1	SAMN25330477	GCA_022422165.1
PDS000010406.22	PDT001257065.1	SAMN25330475	GCA_022422175.1
PDS000010406.22	PDT001257066.1	SAMN25330476	GCA_022422205.1
PDS000010406.22	PDT001257067.1	SAMN25330478	GCA_022422225.1
PDS000010406.22	PDT001257068.1	SAMN25330474	GCA_022422245.1
PDS000010406.22	PDT001257069.1	SAMN25330473	GCA_022422265.1
PDS000010406.22	PDT001257070.1	SAMN25330472	GCA_022422275.1
PDS000010406.22	PDT001257071.1	SAMN25330470	GCA_022422305.1
PDS000010406.22	PDT001257072.1	SAMN25330469	GCA_022422315.1
PDS000010406.22	PDT001257073.1	SAMN25330468	GCA_022422345.1
PDS000010406.22	PDT001257074.1	SAMN25330467	GCA_022422365.1
PDS000010406.22	PDT001257075.1	SAMN25330466	GCA_022422375.1
PDS000010406.22	PDT001257076.1	SAMN25330465	GCA_022422415.1
PDS000010406.22	PDT001257077.1	SAMN25330464	GCA_022422405.1
PDS000010406.22	PDT001257078.1	SAMN25330463	GCA_022422445.1
PDS000010406.22	PDT001257079.1	SAMN25330462	GCA_022422465.1
PDS000010406.22	PDT001257080.1	SAMN25330459	GCA_022422485.1
PDS000010406.22	PDT001257081.1	SAMN25330461	GCA_022422495.1
PDS000010406.22	PDT001257082.1	SAMN25330460	GCA_022422525.1
PDS000010406.22	PDT001257083.1	SAMN25330458	GCA_022422545.1
PDS000010406.22	PDT001257084.1	SAMN25330457	GCA_022422565.1
PDS000010406.22	PDT001257085.1	SAMN25330456	GCA_022422585.1
PDS000010406.22	PDT001257086.1	SAMN25330455	GCA_022422595.1
PDS000010406.22	PDT001257087.1	SAMN25330454	GCA_022422625.1
PDS000010406.22	PDT001257088.1	SAMN25330453	GCA_022422645.1
PDS000010406.22	PDT001257089.1	SAMN25330451	GCA_022422655.1
PDS000010406.22	PDT001257090.1	SAMN25330452	GCA_022422675.1
PDS000010406.22	PDT001257091.1	SAMN25330449	GCA_022422705.1
PDS000010406.22	PDT001257092.1	SAMN25330450	GCA_022422725.1
PDS000010406.22	PDT001257093.1	SAMN25330448	GCA_022422745.1
PDS000010406.22	PDT001257094.1	SAMN25330445	GCA_022422765.1
PDS000010406.22	PDT001257095.1	SAMN25330447	GCA_022422785.1
PDS000010406.22	PDT001257096.1	SAMN25330446	GCA_022422805.1
PDS000010406.22	PDT001257097.1	SAMN25330444	GCA_022422815.1
PDS000010406.22	PDT001257098.1	SAMN25330443	GCA_022422845.1
PDS000010406.22	PDT001257099.1	SAMN25330440	GCA_022422865.1
PDS000010406.22	PDT001257100.1	SAMN25330441	GCA_022422875.1
PDS000010406.22	PDT001257101.1	SAMN25330442	GCA_022422885.1
PDS000010406.22	PDT001257102.1	SAMN25330439	GCA_022422895.1
PDS000010406.22	PDT001257103.1	SAMN25330438	GCA_022422945.1
PDS000010406.22	PDT001257104.1	SAMN25330435	GCA_022422965.1
PDS000010406.22	PDT001257105.1	SAMN25330434	GCA_022422985.1
PDS000010406.22	PDT001257106.1	SAMN25330437	GCA_022423015.1
PDS000010406.22	PDT001257107.1	SAMN25330436	GCA_022423005.1
PDS000010406.22	PDT001257108.1	SAMN25330433	GCA_022423045.1
PDS000010406.22	PDT001257109.1	SAMN25330431	GCA_022423065.1
PDS000010406.22	PDT001257110.1	SAMN25330432	GCA_022423085.1
PDS000010406.22	PDT001257111.1	SAMN25330429	GCA_022423095.1
PDS000010406.22	PDT001257112.1	SAMN25330430	GCA_022423125.1
PDS000010406.22	PDT001257113.1	SAMN25330428	GCA_022423145.1
PDS000010406.22	PDT001257114.1	SAMN25330425	GCA_022423165.1
PDS000010406.22	PDT001257115.1	SAMN25330427	GCA_022423185.1
PDS000010406.22	PDT001257116.1	SAMN25330424	GCA_022423205.1
PDS000010406.22	PDT001257117.1	SAMN25330423	GCA_022423225.1
PDS000010406.22	PDT001257118.1	SAMN25330421	GCA_022423245.1
PDS000010406.22	PDT001257119.1	SAMN25330422	GCA_022423265.1
PDS000010406.22	PDT001257120.1	SAMN25330426	GCA_022423285.1
PDS000010406.22	PDT001257121.1	SAMN25330420	GCA_022423295.1
PDS000010406.22	PDT001257122.1	SAMN25330419	GCA_022423325.1
PDS000010406.22	PDT001257123.1	SAMN25330418	GCA_022423345.1
PDS000010406.22	PDT001257124.1	SAMN25330417	GCA_022423365.1
