ipg	ipg_accession	ipg_name	protein
49659174	WP_160512983.1	serine hydrolase	WP_160512983.1
518480862	WP_242934102.1	OXA-2 family class D beta-lactamase OXA-1082	EIU1393407.1
518480862	WP_242934102.1	OXA-2 family class D beta-lactamase OXA-1082	EIU1399741.1
519601773	HBO7092917.1	OXA-10 family class D beta-lactamase	HBO7092917.1
518500492	HBN8235493.1	class D beta-lactamase	HBN8235493.1
518500492	HBN8235493.1	class D beta-lactamase	HBN8236702.1
560821662	HCG0449201.1	OXA-1 family class D beta-lactamase	HCG0449201.1
101531329	WP_172688538.1	DIM family subclass B1 metallo-beta-lactamase	HCF1756613.1
101531329	WP_172688538.1	DIM family subclass B1 metallo-beta-lactamase	HCF1760770.1
519600611	HBO6810266.1	IMP family subclass B1 metallo-beta-lactamase	HBO6810266.1
286831427	WP_160510929.1	class A beta-lactamase	WP_160510929.1
597699195	NA	NA	HCU2021801.1
105522600	WP_275484693.1	OXA-1 family class D beta-lactamase	WP_275484693.1
542128198	EJA2650218.1	PME family class A beta-lactamase	EJA2650218.1
542128198	EJA2650218.1	PME family class A beta-lactamase	EJA2650370.1
519590738	HBO6205958.1	class D beta-lactamase	HBO6205958.1
559128029	HCE4265829.1	DIM/SIM/IMP family subclass B1 metallo-beta-lactamase	HCE4265829.1
559128029	HCE4265829.1	DIM/SIM/IMP family subclass B1 metallo-beta-lactamase	HCE4265831.1
559128029	HCE4265829.1	DIM/SIM/IMP family subclass B1 metallo-beta-lactamase	HCE4265833.1
559128029	HCE4265829.1	DIM/SIM/IMP family subclass B1 metallo-beta-lactamase	HCE4265835.1
561313788	HCH0444865.1	CAM family subclass B1 metallo-beta-lactamase	HCH0444865.1
29654259	WP_005410766.1	L2 family class A beta-lactamase	EKS8139944.1
29654259	WP_005410766.1	L2 family class A beta-lactamase	WP_005410766.1
29654259	WP_005410766.1	L2 family class A beta-lactamase	HCF1045415.1
29654259	WP_005410766.1	L2 family class A beta-lactamase	HCF1045824.1
29654259	WP_005410766.1	L2 family class A beta-lactamase	HCF2684444.1
29654259	WP_005410766.1	L2 family class A beta-lactamase	HCF2684764.1
29654259	WP_005410766.1	L2 family class A beta-lactamase	HCF2731734.1
29654259	WP_005410766.1	L2 family class A beta-lactamase	HCF2732099.1
615393397	NA	NA	EKJ9203782.1
518915288	EIU3297077.1	class D beta-lactamase	EIU3297077.1
51709979	WP_032152249.1	TEM family class A beta-lactamase	EJY6175155.1
560821237	HCG0442560.1	class D beta-lactamase	HCG0442560.1
378237906	HCF3573384.1	beta-lactamase	HCF3573384.1
378237906	HCF3573384.1	beta-lactamase	HBO5650883.1
378237906	HCF3573384.1	beta-lactamase	HBO5652253.1
378237906	HCF3573384.1	beta-lactamase	HCF2292759.1
378237906	HCF3573384.1	beta-lactamase	HCF2294518.1
378237906	HCF3573384.1	beta-lactamase	HCF3573696.1
67589681	WP_034065877.1	class A beta-lactamase	WP_034065877.1
67589681	WP_034065877.1	class A beta-lactamase	EIU3956110.1
518520474	EIU4992939.1	VIM family subclass B1 metallo-beta-lactamase	EKO8310462.1
518520474	EIU4992939.1	VIM family subclass B1 metallo-beta-lactamase	EIU4992939.1
518520474	EIU4992939.1	VIM family subclass B1 metallo-beta-lactamase	EIU5025985.1
518520474	EIU4992939.1	VIM family subclass B1 metallo-beta-lactamase	EIU5052762.1
518520474	EIU4992939.1	VIM family subclass B1 metallo-beta-lactamase	EIU5066285.1
518520474	EIU4992939.1	VIM family subclass B1 metallo-beta-lactamase	EIY2509136.1
518520474	EIU4992939.1	VIM family subclass B1 metallo-beta-lactamase	EIY2565003.1
518520474	EIU4992939.1	VIM family subclass B1 metallo-beta-lactamase	EIY2592290.1
518520474	EIU4992939.1	VIM family subclass B1 metallo-beta-lactamase	EIY2611142.1
518520474	EIU4992939.1	VIM family subclass B1 metallo-beta-lactamase	HBN9488715.1
241885082	WP_134563270.1	class D beta-lactamase	WP_134563270.1
139822	WP_000733274.1	penicillin-hydrolyzing class A beta-lactamase BlaZ	WP_000733274.1
593670511	NA	NA	EKC1488622.1
518520474	EIU4992939.1	VIM family subclass B1 metallo-beta-lactamase	EKM0220877.1
623799904	NA	NA	EKM6448558.1
560503510	HCF5402059.1	class D beta-lactamase	HCF5402059.1
560503510	HCF5402059.1	class D beta-lactamase	HCF5286473.1
560503510	HCF5402059.1	class D beta-lactamase	HCF5313201.1
189954180	WP_258379038.1	penicillin-binding transpeptidase domain-containing protein	WP_258379038.1
519622668	HBO8150764.1	VIM family subclass B1 metallo-beta-lactamase	HBO8150764.1
518954179	EIW4103952.1	serine hydrolase	EIW4103952.1
518954179	EIW4103952.1	serine hydrolase	EIU3981669.1
468307410	HCF4999872.1	class A beta-lactamase	HCF4999872.1
468307410	HCF4999872.1	class A beta-lactamase	HCF4966921.1
468307410	HCF4999872.1	class A beta-lactamase	HCF4967206.1
468307410	HCF4999872.1	class A beta-lactamase	HCF4999327.1
647881456	WP_279632273.1	class A beta-lactamase	WP_279632273.1
519780726	HBP5461712.1	serine hydrolase	HBP5461712.1
589384739	WGG88839.1	class A beta-lactamase GES-59	EKT4627415.1
519684261	HBP2513916.1	TEM family class A beta-lactamase	HBP2513916.1
519684261	HBP2513916.1	TEM family class A beta-lactamase	HBP2588131.1
519684261	HBP2513916.1	TEM family class A beta-lactamase	HBP2730987.1
519684261	HBP2513916.1	TEM family class A beta-lactamase	HBP2737617.1
519684261	HBP2513916.1	TEM family class A beta-lactamase	HBP2805247.1
519633842	HBO8820747.1	subclass B1 metallo-beta-lactamase	HBO8820747.1
518514476	EIU1590861.1	class A beta-lactamase	EKJ2542985.1
518514476	EIU1590861.1	class A beta-lactamase	EIU1590861.1
518514476	EIU1590861.1	class A beta-lactamase	EIU3677342.1
518514476	EIU1590861.1	class A beta-lactamase	EIU3929521.1
518514476	EIU1590861.1	class A beta-lactamase	EIY9780335.1
518514476	EIU1590861.1	class A beta-lactamase	EIZ4406121.1
518514476	EIU1590861.1	class A beta-lactamase	EJB0064378.1
518514476	EIU1590861.1	class A beta-lactamase	EJH9540116.1
518514476	EIU1590861.1	class A beta-lactamase	EJL5748567.1
518514476	EIU1590861.1	class A beta-lactamase	HCF7727258.1
560036971	HCE6204441.1	PAC family class C beta-lactamase	HCE6204441.1
518909293	EIU2827460.1	serine hydrolase	EIU2827460.1
518909293	EIU2827460.1	serine hydrolase	EJH9562177.1
519613087	HBO7085693.1	class A beta-lactamase	HBO7085693.1
519536325	HBO3867661.1	OXA-10 family class D beta-lactamase	HCR1800136.1
519536325	HBO3867661.1	OXA-10 family class D beta-lactamase	HBO3867661.1
519536325	HBO3867661.1	OXA-10 family class D beta-lactamase	HBO3874935.1
519536325	HBO3867661.1	OXA-10 family class D beta-lactamase	HBP5603616.1
519536325	HBO3867661.1	OXA-10 family class D beta-lactamase	HBP5603813.1
519536325	HBO3867661.1	OXA-10 family class D beta-lactamase	HBP6305369.1
519536325	HBO3867661.1	OXA-10 family class D beta-lactamase	HBP6306347.1
519536325	HBO3867661.1	OXA-10 family class D beta-lactamase	HBP6576123.1
519536325	HBO3867661.1	OXA-10 family class D beta-lactamase	HBP6576348.1
518536330	HBO0654634.1	GES family class A beta-lactamase	HBO0654634.1
519599999	HBO6774966.1	serine hydrolase	HBO6774966.1
89571122	AMP48568.1	classA	HCU1977617.1
279384514	WP_153605162.1	MBL fold metallo-hydrolase	WP_153605162.1
522539213	HCF4874121.1	KPC family carbapenem-hydrolyzing class A beta-lactamase	HCF4874121.1
518482397	EIU1374586.1	class D beta-lactamase	EIU1374586.1
560174823	HCF2320071.1	GES family class A beta-lactamase	HCF2320071.1
518911791	EIU3044952.1	class A beta-lactamase	EIU3044952.1
518911791	EIU3044952.1	class A beta-lactamase	EIU3684168.1
518911791	EIU3044952.1	class A beta-lactamase	EIU5415545.1
44753686	WP_023101942.1	class C beta-lactamase	HDL5860163.1
44753686	WP_023101942.1	class C beta-lactamase	WP_023101942.1
44753686	WP_023101942.1	class C beta-lactamase	EIU3455563.1
44753686	WP_023101942.1	class C beta-lactamase	EIU3455787.1
44753686	WP_023101942.1	class C beta-lactamase	EIU4373828.1
44753686	WP_023101942.1	class C beta-lactamase	EIU4374795.1
44753686	WP_023101942.1	class C beta-lactamase	EJB8514973.1
44753686	WP_023101942.1	class C beta-lactamase	EJB8515915.1
44753686	WP_023101942.1	class C beta-lactamase	HCF2390278.1
44753686	WP_023101942.1	class C beta-lactamase	HCF2390577.1
44753686	WP_023101942.1	class C beta-lactamase	HCF7248814.1
44753686	WP_023101942.1	class C beta-lactamase	HCF7250479.1
44753686	WP_023101942.1	class C beta-lactamase	HCL3394154.1
44753686	WP_023101942.1	class C beta-lactamase	HCL3396799.1
282881212	WP_155936499.1	MBL fold metallo-hydrolase	WP_155936499.1
241923629	WP_134614929.1	subclass B1 metallo-beta-lactamase	WP_134614929.1
560571913	HCF7257327.1	DHA family class C beta-lactamase	HCF7257327.1
560571913	HCF7257327.1	DHA family class C beta-lactamase	HCF7257007.1
518536133	HBO0594513.1	serine hydrolase	HBO0594513.1
518533761	HBO0421176.1	class A beta-lactamase	HBO0421176.1
529149555	EIY2744231.1	MBL fold metallo-hydrolase	EIY2744231.1
519529204	EIU5329962.1	NDM family subclass B1 metallo-beta-lactamase	EIU5329962.1
294567548	WP_161773303.1	class A beta-lactamase	EKM6464928.1
294567548	WP_161773303.1	class A beta-lactamase	WP_161773303.1
294567548	WP_161773303.1	class A beta-lactamase	EIU5031950.1
294567548	WP_161773303.1	class A beta-lactamase	EIU5032569.1
294567548	WP_161773303.1	class A beta-lactamase	EIU5277401.1
294567548	WP_161773303.1	class A beta-lactamase	EIU5277823.1
294567548	WP_161773303.1	class A beta-lactamase	EIU5290417.1
294567548	WP_161773303.1	class A beta-lactamase	EIU5290817.1
294567548	WP_161773303.1	class A beta-lactamase	EIU5309761.1
294567548	WP_161773303.1	class A beta-lactamase	EIU5310210.1
294567548	WP_161773303.1	class A beta-lactamase	EIU5316462.1
294567548	WP_161773303.1	class A beta-lactamase	EIU5316865.1
518481760	EIU1367781.1	class D beta-lactamase	EKJ6856766.1
518481760	EIU1367781.1	class D beta-lactamase	EIU1367781.1
518481760	EIU1367781.1	class D beta-lactamase	EIU1367936.1
518481760	EIU1367781.1	class D beta-lactamase	EIU3344218.1
518481760	EIU1367781.1	class D beta-lactamase	EIU3344447.1
518481760	EIU1367781.1	class D beta-lactamase	EIU3949246.1
518481760	EIU1367781.1	class D beta-lactamase	EIU3949402.1
518481760	EIU1367781.1	class D beta-lactamase	EJN1410403.1
518481760	EIU1367781.1	class D beta-lactamase	EJN1410585.1
518481760	EIU1367781.1	class D beta-lactamase	EJW5406720.1
518481760	EIU1367781.1	class D beta-lactamase	EJW5406928.1
518481760	EIU1367781.1	class D beta-lactamase	EJW8682655.1
518481760	EIU1367781.1	class D beta-lactamase	EJW8682813.1
294567449	WP_161773318.1	serine hydrolase	WP_161773318.1
294567449	WP_161773318.1	serine hydrolase	EIU5290651.1
560815855	HCF9866075.1	class D beta-lactamase	HCF9866075.1
560815855	HCF9866075.1	class D beta-lactamase	HCF9866183.1
366208304	WP_192969009.1	serine hydrolase	WP_192969009.1
4284252	WP_011270171.1	class A beta-lactamase	HCU2043442.1
4284252	WP_011270171.1	class A beta-lactamase	EJB0063777.1
4284252	WP_011270171.1	class A beta-lactamase	EJB0064483.1
518953456	EIU3968729.1	serine hydrolase	EIU3968729.1
518511623	HBN8673635.1	PSE family carbenicillin-hydrolyzing class A beta-lactamase	HBN8673635.1
518511623	HBN8673635.1	PSE family carbenicillin-hydrolyzing class A beta-lactamase	EJS3447804.1
518511623	HBN8673635.1	PSE family carbenicillin-hydrolyzing class A beta-lactamase	HBN8673189.1
519529723	EIU5550361.1	OXA-10 family class D beta-lactamase	EIU5550361.1
519590126	HBO5854783.1	class D beta-lactamase	HBO5854783.1
518538561	HBO0667688.1	GES family class A beta-lactamase	HBO0667688.1
518520474	EIU4992939.1	VIM family subclass B1 metallo-beta-lactamase	EKM6448826.1
518520474	EIU4992939.1	VIM family subclass B1 metallo-beta-lactamase	EIU4992939.1
518520474	EIU4992939.1	VIM family subclass B1 metallo-beta-lactamase	EIU5025985.1
518520474	EIU4992939.1	VIM family subclass B1 metallo-beta-lactamase	EIU5052762.1
518520474	EIU4992939.1	VIM family subclass B1 metallo-beta-lactamase	EIU5066285.1
518520474	EIU4992939.1	VIM family subclass B1 metallo-beta-lactamase	EIY2509136.1
518520474	EIU4992939.1	VIM family subclass B1 metallo-beta-lactamase	EIY2565003.1
518520474	EIU4992939.1	VIM family subclass B1 metallo-beta-lactamase	EIY2592290.1
518520474	EIU4992939.1	VIM family subclass B1 metallo-beta-lactamase	EIY2611142.1
518520474	EIU4992939.1	VIM family subclass B1 metallo-beta-lactamase	HBN9488715.1
519600628	HBO6810263.1	IMP family subclass B1 metallo-beta-lactamase	HBO6810263.1
518892178	EIU2571937.1	DIM/SIM/IMP family subclass B1 metallo-beta-lactamase	EKG7554443.1
518892178	EIU2571937.1	DIM/SIM/IMP family subclass B1 metallo-beta-lactamase	EIU2571937.1
518892178	EIU2571937.1	DIM/SIM/IMP family subclass B1 metallo-beta-lactamase	EIU2572047.1
518892178	EIU2571937.1	DIM/SIM/IMP family subclass B1 metallo-beta-lactamase	EIU2676644.1
518892178	EIU2571937.1	DIM/SIM/IMP family subclass B1 metallo-beta-lactamase	EIU2676787.1
518892178	EIU2571937.1	DIM/SIM/IMP family subclass B1 metallo-beta-lactamase	EIU2726576.1
518892178	EIU2571937.1	DIM/SIM/IMP family subclass B1 metallo-beta-lactamase	EIU2726683.1
518892178	EIU2571937.1	DIM/SIM/IMP family subclass B1 metallo-beta-lactamase	EIU3009451.1
518892178	EIU2571937.1	DIM/SIM/IMP family subclass B1 metallo-beta-lactamase	EIU3009600.1
518892178	EIU2571937.1	DIM/SIM/IMP family subclass B1 metallo-beta-lactamase	EIU3290503.1
518892178	EIU2571937.1	DIM/SIM/IMP family subclass B1 metallo-beta-lactamase	EIU3290630.1
518892178	EIU2571937.1	DIM/SIM/IMP family subclass B1 metallo-beta-lactamase	EIU3324552.1
518892178	EIU2571937.1	DIM/SIM/IMP family subclass B1 metallo-beta-lactamase	EIU3324696.1
518892178	EIU2571937.1	DIM/SIM/IMP family subclass B1 metallo-beta-lactamase	EIU3441922.1
518892178	EIU2571937.1	DIM/SIM/IMP family subclass B1 metallo-beta-lactamase	EIU3442050.1
603910050	NA	NA	EKF7421367.1
294567548	WP_161773303.1	class A beta-lactamase	EKM6455515.1
294567548	WP_161773303.1	class A beta-lactamase	WP_161773303.1
294567548	WP_161773303.1	class A beta-lactamase	EIU5031950.1
294567548	WP_161773303.1	class A beta-lactamase	EIU5032569.1
294567548	WP_161773303.1	class A beta-lactamase	EIU5277401.1
294567548	WP_161773303.1	class A beta-lactamase	EIU5277823.1
294567548	WP_161773303.1	class A beta-lactamase	EIU5290417.1
294567548	WP_161773303.1	class A beta-lactamase	EIU5290817.1
294567548	WP_161773303.1	class A beta-lactamase	EIU5309761.1
294567548	WP_161773303.1	class A beta-lactamase	EIU5310210.1
294567548	WP_161773303.1	class A beta-lactamase	EIU5316462.1
294567548	WP_161773303.1	class A beta-lactamase	EIU5316865.1
519536325	HBO3867661.1	OXA-10 family class D beta-lactamase	HCR1803474.1
519536325	HBO3867661.1	OXA-10 family class D beta-lactamase	HBO3867661.1
519536325	HBO3867661.1	OXA-10 family class D beta-lactamase	HBO3874935.1
519536325	HBO3867661.1	OXA-10 family class D beta-lactamase	HBP5603616.1
519536325	HBO3867661.1	OXA-10 family class D beta-lactamase	HBP5603813.1
519536325	HBO3867661.1	OXA-10 family class D beta-lactamase	HBP6305369.1
519536325	HBO3867661.1	OXA-10 family class D beta-lactamase	HBP6306347.1
519536325	HBO3867661.1	OXA-10 family class D beta-lactamase	HBP6576123.1
519536325	HBO3867661.1	OXA-10 family class D beta-lactamase	HBP6576348.1
518511488	HBN8673613.1	VEB family class A extended-spectrum beta-lactamase	HBN8673613.1
518511488	HBN8673613.1	VEB family class A extended-spectrum beta-lactamase	HBN8673115.1
555136710	WP_250180597.1	OXA-1 family class D beta-lactamase	WP_250180597.1
519601888	HBO7092894.1	class D beta-lactamase	HBO7092894.1
519601888	HBO7092894.1	class D beta-lactamase	HBO7092890.1
518514189	EIU1485402.1	MBL fold metallo-hydrolase	EKJ8700608.1
518514189	EIU1485402.1	MBL fold metallo-hydrolase	EIU1485402.1
518514189	EIU1485402.1	MBL fold metallo-hydrolase	EIU5126679.1
518514189	EIU1485402.1	MBL fold metallo-hydrolase	EJO6116308.1
518514189	EIU1485402.1	MBL fold metallo-hydrolase	HCF1142815.1
518514189	EIU1485402.1	MBL fold metallo-hydrolase	HCF4748584.1
518514189	EIU1485402.1	MBL fold metallo-hydrolase	HCF6292021.1
518514189	EIU1485402.1	MBL fold metallo-hydrolase	HCF6410747.1
518911791	EIU3044952.1	class A beta-lactamase	EKM0399242.1
518911791	EIU3044952.1	class A beta-lactamase	EIU3044952.1
518911791	EIU3044952.1	class A beta-lactamase	EIU3684168.1
518911791	EIU3044952.1	class A beta-lactamase	EIU5415545.1
518520548	HBN9447112.1	class D beta-lactamase	HDR3030296.1
518520548	HBN9447112.1	class D beta-lactamase	HBN9447112.1
558748376	HCE0608204.1	VEB family class A extended-spectrum beta-lactamase	HCE0608204.1
140765084	WP_079388054.1	OXA-2 family class D beta-lactamase	WP_079388054.1
506183552	WP_229997700.1	serine hydrolase	WP_229997700.1
518520474	EIU4992939.1	VIM family subclass B1 metallo-beta-lactamase	EKE4055605.1
93717761	WP_057174201.1	class A beta-lactamase	HBP6228886.1
546309822	EJC9576486.1	serine hydrolase	EJC9576486.1
519803664	HBP6712538.1	class D beta-lactamase	HBP6712538.1
587334742	NA	NA	EJX6682728.1
78498151	WP_045286946.1	class A beta-lactamase	WP_045286946.1
129282607	WP_071549907.1	BEL family extended-spectrum class A beta-lactamase	WP_071549907.1
241926887	WP_134618226.1	IMP family subclass B1 metallo-beta-lactamase	WP_134618226.1
44753686	WP_023101942.1	class C beta-lactamase	HDL5858609.1
44753686	WP_023101942.1	class C beta-lactamase	WP_023101942.1
44753686	WP_023101942.1	class C beta-lactamase	EIU3455563.1
44753686	WP_023101942.1	class C beta-lactamase	EIU3455787.1
44753686	WP_023101942.1	class C beta-lactamase	EIU4373828.1
44753686	WP_023101942.1	class C beta-lactamase	EIU4374795.1
44753686	WP_023101942.1	class C beta-lactamase	EJB8514973.1
44753686	WP_023101942.1	class C beta-lactamase	EJB8515915.1
44753686	WP_023101942.1	class C beta-lactamase	HCF2390278.1
44753686	WP_023101942.1	class C beta-lactamase	HCF2390577.1
44753686	WP_023101942.1	class C beta-lactamase	HCF7248814.1
44753686	WP_023101942.1	class C beta-lactamase	HCF7250479.1
44753686	WP_023101942.1	class C beta-lactamase	HCL3394154.1
44753686	WP_023101942.1	class C beta-lactamase	HCL3396799.1
519615277	HBO6870290.1	class D beta-lactamase	HBO6870290.1
519615277	HBO6870290.1	class D beta-lactamase	HBO6870292.1
241915261	WP_134606509.1	class D beta-lactamase	WP_134606509.1
222025629	WP_125176773.1	class A beta-lactamase	WP_125176773.1
622632610	NA	NA	EKL8567319.1
105523514	HBP2588129.1	TEM family class A beta-lactamase	HBP2588129.1
105523514	HBP2588129.1	TEM family class A beta-lactamase	HBP2513914.1
105523514	HBP2588129.1	TEM family class A beta-lactamase	HBP2594758.1
105523514	HBP2588129.1	TEM family class A beta-lactamase	HBP2730985.1
105523514	HBP2588129.1	TEM family class A beta-lactamase	HBP2737615.1
105523514	HBP2588129.1	TEM family class A beta-lactamase	HBP2805245.1
105523514	HBP2588129.1	TEM family class A beta-lactamase	HBP3303633.1
518480833	EIU1393405.1	OXA-2 family class D beta-lactamase	EIU1393405.1
518480833	EIU1393405.1	OXA-2 family class D beta-lactamase	EIU1399739.1
560820392	HCG0286952.1	PME family class A beta-lactamase	EKS2410261.1
560820392	HCG0286952.1	PME family class A beta-lactamase	HCG0286952.1
560820392	HCG0286952.1	PME family class A beta-lactamase	HCG0468702.1
560227236	HCF5171158.1	class D beta-lactamase	HCF5171158.1
614895355	NA	NA	EKJ7124874.1
529149476	EIY2744236.1	VIM family subclass B1 metallo-beta-lactamase	EIY2744236.1
105523514	HBP2594758.1	TEM family class A beta-lactamase	HBP2594758.1
105523514	HBP2594758.1	TEM family class A beta-lactamase	HBP2513914.1
105523514	HBP2594758.1	TEM family class A beta-lactamase	HBP2588129.1
105523514	HBP2594758.1	TEM family class A beta-lactamase	HBP2730985.1
105523514	HBP2594758.1	TEM family class A beta-lactamase	HBP2737615.1
105523514	HBP2594758.1	TEM family class A beta-lactamase	HBP2805245.1
105523514	HBP2594758.1	TEM family class A beta-lactamase	HBP3303633.1
560047763	HCE7169398.1	PSE family carbenicillin-hydrolyzing class A beta-lactamase	HCE7169398.1
518482803	EIU1406166.1	serine hydrolase	EKJ2487406.1
518482803	EIU1406166.1	serine hydrolase	EIU1406166.1
518482803	EIU1406166.1	serine hydrolase	EIU1460163.1
518482803	EIU1406166.1	serine hydrolase	EIU1646027.1
518482803	EIU1406166.1	serine hydrolase	EIU3138358.1
518482803	EIU1406166.1	serine hydrolase	EIU3747644.1
518482803	EIU1406166.1	serine hydrolase	EIU3850630.1
518482803	EIU1406166.1	serine hydrolase	EIU4153538.1
518482803	EIU1406166.1	serine hydrolase	EIU4323817.1
518482803	EIU1406166.1	serine hydrolase	EIU4965979.1
518482803	EIU1406166.1	serine hydrolase	EIU5323276.1
518482803	EIU1406166.1	serine hydrolase	EIU5336292.1
518482803	EIU1406166.1	serine hydrolase	EIU5510748.1
518482803	EIU1406166.1	serine hydrolase	EIU5517629.1
518482803	EIU1406166.1	serine hydrolase	EIU5568910.1
518482803	EIU1406166.1	serine hydrolase	EIW4144654.1
518482803	EIU1406166.1	serine hydrolase	EIX1828745.1
518482803	EIU1406166.1	serine hydrolase	EIY2890051.1
518482803	EIU1406166.1	serine hydrolase	EIY9768707.1
518482803	EIU1406166.1	serine hydrolase	EIZ7573214.1
518482803	EIU1406166.1	serine hydrolase	EJG7670858.1
518482803	EIU1406166.1	serine hydrolase	EJG7791740.1
518482803	EIU1406166.1	serine hydrolase	EJG7975457.1
518482803	EIU1406166.1	serine hydrolase	EJP6187218.1
518482803	EIU1406166.1	serine hydrolase	EJU9482725.1
518482803	EIU1406166.1	serine hydrolase	HCF9879485.1
559128072	HCE4265839.1	OXA-10 family class D beta-lactamase	HCE4265839.1
519601716	HBO6797834.1	subclass B1 metallo-beta-lactamase	HBO6797834.1
518517846	HBN8946832.1	OXA-10 family class D beta-lactamase	HBN8946832.1
576552800	HCK4822106.1	class D beta-lactamase	HCK4822106.1
560503822	HCF5468659.1	class D beta-lactamase	EKJ7124793.1
560503822	HCF5468659.1	class D beta-lactamase	HCF5468659.1
593697656	NA	NA	HCR9945727.1
559120957	WP_262697145.1	OXA-10 family class D beta-lactamase OXA-1148	HCE3953098.1
560820392	HCG0286952.1	PME family class A beta-lactamase	HCR1810035.1
560820392	HCG0286952.1	PME family class A beta-lactamase	HCG0286952.1
560820392	HCG0286952.1	PME family class A beta-lactamase	HCG0468702.1
429847254	WP_210674823.1	serine hydrolase	WP_210674823.1
566673367	HCI2706161.1	class D beta-lactamase	HCI2706161.1
566673367	HCI2706161.1	class D beta-lactamase	HCI2709042.1
603963443	NA	NA	EKF8197776.1
4284252	WP_011270171.1	class A beta-lactamase	HCU2046938.1
4284252	WP_011270171.1	class A beta-lactamase	EJB0063777.1
4284252	WP_011270171.1	class A beta-lactamase	EJB0064483.1
23014865	WP_014471707.1	class A beta-lactamase	HBO5952386.1
642987751	NA	NA	HDQ4598062.1
519514224	EIU4224499.1	OXA-2 family class D beta-lactamase	EIU4224499.1
519528916	EIU5342883.1	serine hydrolase	EIU5342883.1
518514826	EIU1646277.1	GES family class A beta-lactamase	EIU1646277.1
560216218	HCF4867096.1	class D beta-lactamase	HCF4867096.1
49611224	WP_134594455.1	class A beta-lactamase	WP_134594455.1
519536325	HBO3867661.1	OXA-10 family class D beta-lactamase	HCR1464732.1
519536325	HBO3867661.1	OXA-10 family class D beta-lactamase	HBO3867661.1
519536325	HBO3867661.1	OXA-10 family class D beta-lactamase	HBO3874935.1
519536325	HBO3867661.1	OXA-10 family class D beta-lactamase	HBP5603616.1
519536325	HBO3867661.1	OXA-10 family class D beta-lactamase	HBP5603813.1
519536325	HBO3867661.1	OXA-10 family class D beta-lactamase	HBP6305369.1
519536325	HBO3867661.1	OXA-10 family class D beta-lactamase	HBP6306347.1
519536325	HBO3867661.1	OXA-10 family class D beta-lactamase	HBP6576123.1
519536325	HBO3867661.1	OXA-10 family class D beta-lactamase	HBP6576348.1
560145077	HCE9533263.1	OXA-2 family class D beta-lactamase	HCE9533263.1
560145077	HCE9533263.1	OXA-2 family class D beta-lactamase	HCE9533361.1
519566365	HBO5254680.1	class A beta-lactamase	HBO5254680.1
519602015	HBO7139443.1	OXA-10 family class D beta-lactamase	HBO7139443.1
519536325	HBO3867661.1	OXA-10 family class D beta-lactamase	HCR1468612.1
560214196	HCF4828373.1	VIM family subclass B1 metallo-beta-lactamase	HCF4828373.1
468307410	HCF4966921.1	class A beta-lactamase	HCR1608707.1
468307410	HCF4966921.1	class A beta-lactamase	HCF4966921.1
468307410	HCF4966921.1	class A beta-lactamase	HCF4967206.1
468307410	HCF4966921.1	class A beta-lactamase	HCF4999327.1
468307410	HCF4966921.1	class A beta-lactamase	HCF4999872.1
519521483	EIU4816708.1	class D beta-lactamase	EIU4816708.1
241943157	WP_134632032.1	IMP family subclass B1 metallo-beta-lactamase	WP_134632032.1
519590747	HBO6205961.1	VIM family subclass B1 metallo-beta-lactamase	HBO6205961.1
519590747	HBO6205961.1	VIM family subclass B1 metallo-beta-lactamase	HBO6205964.1
580419696	EJU9618540.1	OXA-10 family class D beta-lactamase	EJU9618540.1
560814939	HCF9872588.1	class A beta-lactamase	HCF9872588.1
399990069	WP_203062701.1	class A beta-lactamase	HCR1809955.1
399990069	WP_203062701.1	class A beta-lactamase	WP_203062701.1
399990069	WP_203062701.1	class A beta-lactamase	EIU4972453.1
399990069	WP_203062701.1	class A beta-lactamase	EIU4972934.1
399990069	WP_203062701.1	class A beta-lactamase	EJA2650211.1
399990069	WP_203062701.1	class A beta-lactamase	EJS3447537.1
399990069	WP_203062701.1	class A beta-lactamase	EJS3447786.1
399990069	WP_203062701.1	class A beta-lactamase	HBO3435268.1
399990069	WP_203062701.1	class A beta-lactamase	HBO3435579.1
399990069	WP_203062701.1	class A beta-lactamase	HBO6968078.1
399990069	WP_203062701.1	class A beta-lactamase	HBO6968201.1
399990069	WP_203062701.1	class A beta-lactamase	HCF1072224.1
399990069	WP_203062701.1	class A beta-lactamase	HCF1072765.1
399990069	WP_203062701.1	class A beta-lactamase	HCG0286754.1
399990069	WP_203062701.1	class A beta-lactamase	HCG0287110.1
399990069	WP_203062701.1	class A beta-lactamase	HCG0442028.1
399990069	WP_203062701.1	class A beta-lactamase	HCG0442533.1
399990069	WP_203062701.1	class A beta-lactamase	HCG0468353.1
399990069	WP_203062701.1	class A beta-lactamase	HCG0468823.1
560174837	HCF2319731.1	serine hydrolase	HCF2319731.1
560158711	HCF0663520.1	class D beta-lactamase	HCF0663520.1
560158711	HCF0663520.1	class D beta-lactamase	HCF0663518.1
593965340	WP_265314496.1	OXA-1 family class D beta-lactamase	WP_265314496.1
519633944	HBO8760918.1	OXA-2 family class D beta-lactamase	HBO8760918.1
560812579	HCF9485661.1	OXA-10 family class D beta-lactamase	HCF9485661.1
519524543	EIU5086429.1	class A beta-lactamase	EIU5086429.1
519524543	EIU5086429.1	class A beta-lactamase	EIU5083732.1
