#label	FDA_lab_id	HHS_region	IFSAC_category	LibraryLayout	PFGE_PrimaryEnzyme_pattern	PFGE_SecondaryEnzyme_pattern	Platform	Run	asm_acc	asm_level	asm_stats_contig_n50	asm_stats_length_bp	asm_stats_n_contig	assembly_method	attribute_package	bioproject_acc	bioproject_center	biosample_acc	isolate_identifiers	collected_by	collection_date	epi_type	fullasm_id	geo_loc_name	host	host_disease	isolation_source	lat_lon	ontological_term	outbreak	sample_name	scientific_name	serovar	source_type	species_taxid	sra_center	sra_release_date	strain	sequenced_by	project_name	target_acc	target_creation_date	taxid	wgs_acc_prefix	wgs_master_acc	minsame	mindiff	computed_types	number_drugs_resistant	number_drugs_intermediate	number_drugs_susceptible	number_drugs_tested	number_amr_genes	number_core_amr_genes	AST_phenotypes	AMR_genotypes	AMR_genotypes_core	number_stress_genes	stress_genotypes	number_virulence_genes	virulence_genotypes	amrfinder_version	refgene_db_version	amrfinder_analysis_type	amrfinder_applied
PDT001577307.1|SAMN19313486|GCA_027855735.1|Pseudomonas aeruginosa||PaLo514|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_027855735.1	Contig	4014893	6667402	9	Unicycler v. v.0.4.9	Microbe	PRJNA731114	KU Leuven	SAMN19313486	PaLo514,SRS9046493	NULL	2018	clinical	39647248	Switzerland	Homo sapiens	NULL	NULL	NULL	NULL	NULL	PaLo514	Pseudomonas aeruginosa	NULL	NULL	287	NULL	NULL	PaLo514	NULL	NULL	PDT001577307.1	2023-01-15	287	JAHERD	JAHERD000000000.1	0	37	NULL	0	0	0	0	10	7	NULL	aph(3')-IIb,blaOXA-913,blaPDC-37,catB7,crpP=PARTIAL,fosA,gyrA_D87N=POINT,mexA,mexE,mexX	aph(3')-IIb,blaOXA-913,blaPDC-37,catB7,crpP=PARTIAL,fosA,gyrA_D87N=POINT	0	NULL	0	NULL	3.11.2	2022-12-19.1	COMBINED	1
PDT000756395.1|SAMEA2056601||Pseudomonas aeruginosa|||Generic	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	ERR364130	NULL	NULL	206794	7261497	107	NULL	Generic	PRJEB4389	Wellcome Sanger Institute	SAMEA2056601	ERS222577,MET542-sc-2013-03-11T14:17:46Z-1549604	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Pseudomonas aeruginosa	NULL	NULL	287	SC	2014-03-14	NULL	NULL	NULL	PDT000756395.1	2020-06-03	287	NULL	NULL	NULL	NULL	NULL	0	0	0	0	19	16	NULL	aac(3)-Id,aac(6')-Il,aadA6,aph(3'')-Ib,aph(3')-IIb,aph(3')-Ia,aph(3')-VIa,aph(6)-Id,blaOXA-488,blaPDC-35,blaVIM-2,catB7,dfrB5,fosA,gyrA_T83I=POINT,mexA,mexE,mexX,sul1	aac(3)-Id,aac(6')-Il,aadA6,aph(3'')-Ib,aph(3')-IIb,aph(3')-Ia,aph(3')-VIa,aph(6)-Id,blaOXA-488,blaPDC-35,blaVIM-2,catB7,dfrB5,fosA,gyrA_T83I=POINT,sul1	1	qacEdelta1	0	NULL	3.10.18	2021-12-21.1	NUCLEOTIDE	1
PDT000906822.1|SAMN10436375|GCA_015763645.1|Pseudomonas aeruginosa||PSA00565|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_015763645.1	Scaffold	261164	6974437	70	SPAdes v. 3.14.1	Pathogen: clinical or host-associated	PRJNA475751	University of Pittsburgh	SAMN10436375	PSA00565,SRS4051937	University of Pittsburgh Medical Center	2017	clinical	23573948	USA: Pittsburgh, Pennsylvania	Homo sapiens	not collected	urine	40.44 N 79.97 W	NULL	NULL	PSA00565	Pseudomonas aeruginosa	NULL	NULL	287	NULL	NULL	PSA00565	NULL	NULL	PDT000906822.1	2020-12-04	287	JADTEI	JADTEI000000000.1	NULL	NULL	NULL	0	0	0	0	9	6	NULL	aph(3')-IIb,blaOXA-905,blaPDC-8,catB7,crpP,fosA,mexA,mexE,mexX	aph(3')-IIb,blaOXA-905,blaPDC-8,catB7,crpP,fosA	3	kefB-GI,psi-GI,trxLHR	0	NULL	3.10.18	2021-12-21.1	NUCLEOTIDE	1
PDT001410830.1|SAMN29843201|GCA_024972855.1|Pseudomonas aeruginosa||M27432|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_024972855.1	Complete Genome	6868572	6868572	1	SPAdes v. 3.13.0	Pathogen: clinical or host-associated	PRJNA860371	Servicio Antimicrobianos	SAMN29843201	M27432,Pseudomonas aeruginosa M27432	Fundacion para la Lucha contra las Enfermedades Neurologicas de la Infancia - FLENI	2021-07-08	clinical	35574718	Argentina: Buenos Aires City	Homo sapiens	tracheal colonization	tracheal aspirate	34.55482585 S 58.45070871 W	NULL	NULL	Pseudomonas aeruginosa M27432	Pseudomonas aeruginosa	NULL	NULL	287	NULL	NULL	M27432	NULL	NULL	PDT001410830.1	2022-09-06	287	NULL	NULL	NULL	NULL	NULL	0	0	0	0	28	25	NULL	aac(6')-Ib,aac(6')-Ib-cr5,aadA6,ant(2'')-Ia,aph(3'')-Ib=PARTIAL,aph(3')-IIb,aph(6)-Id,arr-3,blaKPC-31,blaOXA-1,blaOXA-129,blaOXA-488,blaPDC-35,catB3,catB7,cmx,dfrA25,dfrA5,fosA,gyrA_D87N=POINT,gyrA_T83I=POINT,mexA,mexE,mexX,mph(A),parC_S87L=POINT,qnrB2,sul1	aac(6')-Ib,aac(6')-Ib-cr5,aadA6,ant(2'')-Ia,aph(3'')-Ib=PARTIAL,aph(3')-IIb,aph(6)-Id,arr-3,blaKPC-31,blaOXA-1,blaOXA-129,blaOXA-488,blaPDC-35,catB3,catB7,cmx,dfrA25,dfrA5,fosA,gyrA_D87N=POINT,gyrA_T83I=POINT,mph(A),parC_S87L=POINT,qnrB2,sul1	13	merA,merA=HMM,merC,merD,merD=HMM,merE,merE=HMM,merP,merP=HMM,merR,merT,qacE=PARTIAL,qacEdelta1	0	NULL	3.10.40	2022-08-09.1	COMBINED	1
PDT001122693.1|SAMN16656075|GCA_019857285.1|Pseudomonas aeruginosa||SRRSH1002|MIGS Cultured Bacterial/Archaeal	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_019857285.1	Complete Genome	6909981	6959351	2	Unicycler v. 0.4.8	MIGS Cultured Bacterial/Archaeal	PRJNA672835	Sir Run Run Shaw Hospital, Zhejiang University	SAMN16656075	SRRSH1002,SRRSH1002_hybrid,SRS7660943	NULL	2018-09-14	clinical	28690008	China:Hangzhou	Homo sapiens	NULL	NULL	30.26 N 120.19 E	NULL	NULL	SRRSH1002_hybrid	Pseudomonas aeruginosa	NULL	NULL	287	NULL	NULL	SRRSH1002	NULL	NULL	PDT001122693.1	2021-09-02	287	NULL	NULL	0	NULL	NULL	0	0	0	0	13	10	NULL	aph(3')-IIb,blaKPC-2,blaOXA-486,blaPDC-8,catB7,crpP,crpP=PARTIAL,fosA,gyrA_T83I=POINT,mexA,mexE,mexX,parC_S87L=POINT	aph(3')-IIb,blaKPC-2,blaOXA-486,blaPDC-8,catB7,crpP,crpP=PARTIAL,fosA,gyrA_T83I=POINT,parC_S87L=POINT	0	NULL	0	NULL	3.10.40	2022-08-09.1	COMBINED	1
PDT000483085.1|SAMN10478208|GCA_004373975.1|Pseudomonas aeruginosa||PAC117A|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_004373975.1	Contig	269528	6389983	52	A5 pipeline (Miseq, Linux) v. 20140521	Microbe	PRJNA325248	International Pseudomonas aeruginosa Consortium	SAMN10478208	P. aeruginosa ipcd134,PAC117A	NULL	2010-07-06	clinical	8792418	Canada: Sherbrooke	Homo sapiens	cystic fibrosis	sputum	NULL	NULL	NULL	P. aeruginosa ipcd134	Pseudomonas aeruginosa	NULL	NULL	287	NULL	NULL	PAC117A	NULL	NULL	PDT000483085.1	2019-03-26	287	RWSR	RWSR00000000.1	NULL	NULL	NULL	0	0	0	0	9	6	NULL	aph(3')-IIb,blaOXA-486,blaPDC-3,catB7,crpP=PARTIAL,fosA,mexA,mexE,mexX	aph(3')-IIb,blaOXA-486,blaPDC-3,catB7,crpP=PARTIAL,fosA	0	NULL	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT000923431.1|SAMN16982603|GCA_016341645.1|Pseudomonas aeruginosa||PSA01055|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_016341645.1	Contig	101150	6604831	121	SPAdes v. 3.14.1	Pathogen: clinical or host-associated	PRJNA475751	University of Pittsburgh	SAMN16982603	PSA01055,SRS7826263	University of Pittsburgh Medical Center	2019	clinical	24222768	USA: Pittsburgh, Pennsylvania	Homo sapiens	not collected	sputum	40.44 N 79.97 W	NULL	NULL	PSA01055	Pseudomonas aeruginosa	NULL	NULL	287	NULL	NULL	PSA01055	NULL	NULL	PDT000923431.1	2020-12-23	287	JAEICH	JAEICH000000000.1	20	NULL	NULL	0	0	0	0	9	6	NULL	aph(3')-IIb,blaOXA-488,blaPDC-34,catB7=MISTRANSLATION,crpP,fosA,mexA,mexE,mexX	aph(3')-IIb,blaOXA-488,blaPDC-34,catB7=MISTRANSLATION,crpP,fosA	6	merA,merD,merE,merP,merR,merT	0	NULL	3.10.18	2021-12-21.1	NUCLEOTIDE	1
PDT000906958.1|SAMN10436221|GCA_015766415.1|Pseudomonas aeruginosa||PSA00405|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_015766415.1	Contig	162428	6758025	113	SPAdes v. 3.14.1	Pathogen: clinical or host-associated	PRJNA475751	University of Pittsburgh	SAMN10436221	PSA00405,SRS4051250	University of Pittsburgh Medical Center	2017	clinical	23577148	USA: Pittsburgh, Pennsylvania	Homo sapiens	not collected	bronch	40.44 N 79.97 W	NULL	NULL	PSA00405	Pseudomonas aeruginosa	NULL	NULL	287	NULL	NULL	PSA00405	NULL	NULL	PDT000906958.1	2020-12-04	287	JADTBZ	JADTBZ000000000.1	NULL	NULL	NULL	0	0	0	0	8	5	NULL	aph(3')-IIb,blaOXA-494,blaPDC-5,crpP,fosA,mexA,mexE,mexX	aph(3')-IIb,blaOXA-494,blaPDC-5,crpP,fosA	6	merA=MISTRANSLATION,merD,merE,merP,merR,merT	0	NULL	3.10.18	2021-12-21.1	NUCLEOTIDE	1
PDT001684573.1|SAMN28905087||Pseudomonas aeruginosa||CFRL18|Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR19575472	NULL	NULL	572160	6761923	47	NULL	Pathogen: clinical or host-associated	PRJNA742527	Geisel School of Medicine at Dartmouth	SAMN28905087	CFRL18,CFpl73_D7,SRS13327429,T2_RML_D7	DartCF Translational Research Core	2015/2018	clinical	NULL	USA:New Hampshire	Homo sapiens	cystic fibrosis	bronchoalveolar lavage fluid	43.6423 N 72.2518 W	NULL	NULL	T2_RML_D7	Pseudomonas aeruginosa	NULL	NULL	287	GEISEL SCHOOL OF MEDICINE AT DARTMOUTH	2022-12-31	CFRL18	NULL	NULL	PDT001684573.1	2023-04-09	287	NULL	NULL	0	NULL	NULL	0	0	0	0	9	6	NULL	aph(3')-IIb,blaOXA-847,blaPDC,catB7,crpP,fosA,mexA,mexE,mexX	aph(3')-IIb,blaOXA-847,blaPDC,catB7,crpP,fosA	0	NULL	0	NULL	3.11.2	2023-02-23.1	NUCLEOTIDE	1
PDT000756478.1|SAMEA2056750||Pseudomonas aeruginosa|||Generic	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	ERR370076	NULL	NULL	302506	6619249	74	NULL	Generic	PRJEB4389	Wellcome Sanger Institute	SAMEA2056750	ERS222640,RES3637-sc-2013-03-11T14:18:57Z-1549693	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Pseudomonas aeruginosa	NULL	NULL	287	SC	2014-03-14	NULL	NULL	NULL	PDT000756478.1	2020-06-03	287	NULL	NULL	NULL	NULL	NULL	0	0	0	0	9	6	NULL	aph(3')-IIb,blaOXA-486,blaPDC-24,catB7,fosA,gyrA_T83I=POINT,mexA,mexE,mexX	aph(3')-IIb,blaOXA-486,blaPDC-24,catB7,fosA,gyrA_T83I=POINT	0	NULL	0	NULL	3.10.18	2021-12-21.1	NUCLEOTIDE	1
PDT000904127.1|SAMN10435931|GCA_015737815.1|Pseudomonas aeruginosa||PSA00095|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_015737815.1	Contig	282371	6752682	54	SPAdes v. 3.14.1	Pathogen: clinical or host-associated	PRJNA475751	University of Pittsburgh	SAMN10435931	PSA00095,SRS4051690	University of Pittsburgh Medical Center	2017	clinical	23523138	USA: Pittsburgh, Pennsylvania	Homo sapiens	not collected	urine	40.44 N 79.97 W	NULL	NULL	PSA00095	Pseudomonas aeruginosa	NULL	NULL	287	NULL	NULL	PSA00095	NULL	NULL	PDT000904127.1	2020-12-04	287	JADSQG	JADSQG000000000.1	3	20	NULL	0	0	0	0	9	6	NULL	aph(3')-IIb,blaOXA-913,blaPDC-37,catB7,crpP,fosA,mexA,mexE,mexX	aph(3')-IIb,blaOXA-913,blaPDC-37,catB7,crpP,fosA	0	NULL	0	NULL	3.10.18	2021-12-21.1	NUCLEOTIDE	1
PDT001471568.1|SAMN31263445|GCA_025921605.1|Pseudomonas aeruginosa||AUSMDU00011895|Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR21884603	GCA_025921605.1	Contig	163625	6468988	111	SKESA v. 2.2	Pathogen: clinical or host-associated	PRJNA857531	Microbiological Diagnostic Unit Public Health Laboratory	SAMN31263445	AUSMDU00011895,SRS15389777	MDU PHL	2018	clinical	37064858	Australia: Victoria	Homo sapiens	not collected	NULL	NULL	NULL	NULL	AUSMDU00011895	Pseudomonas aeruginosa	NULL	NULL	287	MDUPHL	2022-10-18	AUSMDU00011895	NULL	NULL	PDT001471568.1	2022-10-31	287	DAJRTV	DAJRTV000000000.1	1	NULL	NULL	0	0	0	0	9	6	NULL	aph(3')-IIb,blaOXA-488,blaPDC-124,catB7,crpP=PARTIAL,fosA,mexA,mexE,mexX	aph(3')-IIb,blaOXA-488,blaPDC-124,catB7,crpP=PARTIAL,fosA	7	merA=HMM,merC=HMM,merD,merE=HMM,merP,merR,merT	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT001343630.1|SAMN27565631|GCA_023964375.1|Pseudomonas aeruginosa||Pseudomonas aeruginosa ARLG-10288|Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR18767922	GCA_023964375.1	Contig	142212	6984131	151	SKESA v. 2.2	Pathogen: clinical or host-associated	PRJNA824880	Hackensack-Meridian Health Center for Discovery and Innovation	SAMN27565631	ARLG-10288,Pseudomonas aeruginosa ARLG-10288,SRS12621637	MDRO Network	2018	clinical	34223508	USA	Homo sapiens	NULL	urine	NULL	NULL	NULL	ARLG-10288	Pseudomonas aeruginosa	NULL	NULL	287	HACKENSACK-MERIDIAN HEALTH CENTER FOR DISCOVERY AND INNOVATION	2022-04-15	Pseudomonas aeruginosa ARLG-10288	NULL	NULL	PDT001343630.1	2022-06-25	287	DAHPEI	DAHPEI000000000.1	NULL	NULL	NULL	0	0	0	0	13	10	NULL	aadA6,aph(3')-IIb,blaOXA-488,blaPDC-35,catB7,crpP=PARTIAL,fosA,gyrA_T83I=POINT,mexA,mexE,mexX,parC_S87L=POINT,sul1	aadA6,aph(3')-IIb,blaOXA-488,blaPDC-35,catB7,crpP=PARTIAL,fosA,gyrA_T83I=POINT,parC_S87L=POINT,sul1	8	merA,merD,merE,merP,merP=HMM,merR,merT,qacEdelta1	0	NULL	3.10.30	2022-05-26.1	COMBINED	1
PDT000923516.1|SAMN16982704|GCA_016344025.1|Pseudomonas aeruginosa||PSA01171|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_016344025.1	Contig	187694	6333010	75	SPAdes v. 3.14.1	Pathogen: clinical or host-associated	PRJNA475751	University of Pittsburgh	SAMN16982704	PSA01171,SRS7826279	University of Pittsburgh Medical Center	2019	clinical	24225148	USA: Pittsburgh, Pennsylvania	Homo sapiens	not collected	sputum	40.44 N 79.97 W	NULL	NULL	PSA01171	Pseudomonas aeruginosa	NULL	NULL	287	NULL	NULL	PSA01171	NULL	NULL	PDT000923516.1	2020-12-24	287	JAEHYK	JAEHYK000000000.1	4	NULL	NULL	0	0	0	0	10	7	NULL	aph(3')-IIb,blaOXA,blaPDC-3,catB7,crpP,fosA,gyrA_T83I=POINT,mexA,mexE,mexX	aph(3')-IIb,blaOXA,blaPDC-3,catB7,crpP,fosA,gyrA_T83I=POINT	0	NULL	0	NULL	3.10.18	2021-12-21.1	NUCLEOTIDE	1
PDT001194008.1|SAMEA9239132||Pseudomonas aeruginosa|||Generic	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	ERR7226083	NULL	NULL	365866	6604677	72	NULL	Generic	PRJEB29738	Wellcome Sanger Institute	SAMEA9239132	ERS6961531,ea324046-d274-11eb-87f7-fa163eea3084	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Pseudomonas aeruginosa	NULL	NULL	287	WELLCOME SANGER INSTITUTE	2021-11-05	NULL	NULL	NULL	PDT001194008.1	2021-12-03	287	NULL	NULL	NULL	NULL	NULL	0	0	0	0	8	5	NULL	aph(3')-IIb,blaOXA-494,blaPDC-25,catB7,fosA,mexA,mexE,mexX	aph(3')-IIb,blaOXA-494,blaPDC-25,catB7,fosA	0	NULL	0	NULL	3.10.18	2021-12-21.1	NUCLEOTIDE	1
PDT000096272.1|SAMN04128495|GCA_001449345.1|Pseudomonas aeruginosa||WH-SGI-V-07062|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_001449345.1	Scaffold	223921	6439818	94	SGI modified IDBA_UD v. 1.1.1	Microbe	PRJNA297679	Synthetic Genomics Vaccines, Inc.	SAMN04128495	SRS1168075,WH-SGI-V-07062	NULL	1992	NULL	2695498	USA	NULL	NULL	hospital	NULL	NULL	NULL	WH-SGI-V-07062	Pseudomonas aeruginosa	NULL	NULL	287	NULL	NULL	WH-SGI-V-07062	NULL	NULL	PDT000096272.1	2015-11-30	287	LLLM	LLLM00000000.1	NULL	NULL	NULL	0	0	0	0	11	8	NULL	aph(3')-IIb,blaOXA-486,blaPDC-45,catB7,crpP=PARTIAL,fosA,gyrA_T83I=POINT,mexA,mexE,mexX,parC_S87L=POINT	aph(3')-IIb,blaOXA-486,blaPDC-45,catB7,crpP=PARTIAL,fosA,gyrA_T83I=POINT,parC_S87L=POINT	0	NULL	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT001726195.1|SAMEA110410472||Pseudomonas aeruginosa|||Generic	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	ERR9990386	NULL	NULL	33388	6493227	355	NULL	Generic	PRJEB54973	University Hospital Basel	SAMEA110410472	501255-3-21,ERS12508844	NULL	2021	NULL	NULL	NULL	501255-3-21	NULL	clinical sample	NULL	NULL	NULL	NULL	Pseudomonas aeruginosa	NULL	NULL	287	UNIVERSITY HOSPITAL BASEL	2022-11-18	NULL	NULL	NULL	PDT001726195.1	2023-05-08	287	NULL	NULL	NULL	NULL	NULL	0	0	0	0	10	6	NULL	aph(3')-IIb,blaOXA-50,blaPDC-3,catB7,crpP,fosA,mexA,mexE,mexX,mexX=PARTIAL_END_OF_CONTIG	aph(3')-IIb,blaOXA-50,blaPDC-3,catB7,crpP,fosA	0	NULL	0	NULL	3.11.2	2023-04-17.1	NUCLEOTIDE	1
PDT000753392.1|SAMN14523648|GCA_021699555.1|Pseudomonas aeruginosa|||Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR11468001	GCA_021699555.1	Contig	183861	7064291	163	SKESA v. 2.2	Pathogen: clinical or host-associated	PRJNA622605	Harvard Medical School	SAMN14523648	E_SP1-4,SRS6416269	Boston Children's Hospital	2013-09-25	clinical	31233968	USA: Boston	Homo sapiens	opportunistic bacterial infectious disease	tracheal aspirates from patient ventilator	42.34 N 71.10 W	NULL	NULL	E_SP1-4	Pseudomonas aeruginosa	NULL	NULL	287	HARVARD MEDICAL SCHOOL	2020-05-08	NULL	NULL	NULL	PDT000753392.1	2020-06-01	287	DAFROI	DAFROI000000000.1	2	NULL	NULL	0	0	0	0	10	7	NULL	aph(3')-IIb,blaOXA-50,blaPDC-103,catB7,crpP,fosA,mexA,mexE,mexX,parE_A473V=POINT	aph(3')-IIb,blaOXA-50,blaPDC-103,catB7,crpP,fosA,parE_A473V=POINT	14	hdeD-GI,kefB-GI,merA=HMM,merD,merE,merF,merP,merR,merT,psi-GI=MISTRANSLATION,shsP,trxLHR,yfdX1,yfdX2	0	NULL	3.10.18	2021-12-21.1	COMBINED	1
PDT001668277.1|SAMN12369732|GCA_029397655.1|Pseudomonas aeruginosa|||Pathogen: clinical or host-associated	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	SRR9842293	GCA_029397655.1	Contig	180566	7042793	97	SKESA v. 2.2	Pathogen: clinical or host-associated	PRJNA503802	Lausanne University Hospital	SAMN12369732	H26202,PA26202,SRS5162078	Lausanne University Hospital	2010-06-18	clinical	41697708	Switzerland	Homo sapiens	NULL	Catheter	46.5252 N 6.6427 E	NULL	NULL	PA26202	Pseudomonas aeruginosa	NULL	NULL	287	LAUSANNE UNIVERSITY HOSPITAL	2019-07-26	NULL	NULL	NULL	PDT001668277.1	2023-03-24	287	DAOBFZ	DAOBFZ000000000.1	1	20	NULL	0	0	0	0	9	6	NULL	aph(3')-IIb,blaOXA-50,blaPDC-8,catB7,crpP,fosA,mexA,mexE,mexX	aph(3')-IIb,blaOXA-50,blaPDC-8,catB7,crpP,fosA	10	clpK,hdeD-GI,kefB-GI,merA=HMM,merP=HMM,psi-GI,shsP,trxLHR,yfdX1,yfdX2	0	NULL	3.11.2	2023-02-23.1	COMBINED	1
PDT000883491.1|SAMEA5936614||Pseudomonas aeruginosa|||Generic	NULL	NULL	NULL	PAIRED	NULL	NULL	ILLUMINA	ERR4782058	NULL	NULL	226410	6966618	118	NULL	Generic	PRJEB29738	Wellcome Sanger Institute	SAMEA5936614	ERS3725088,a81e2910-cfe5-11e9-8468-68b59976a384	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Pseudomonas aeruginosa	NULL	NULL	287	WELLCOME SANGER INSTITUTE	2020-11-03	NULL	NULL	NULL	PDT000883491.1	2020-11-09	287	NULL	NULL	NULL	NULL	NULL	0	0	0	0	26	23	NULL	aadA1,ant(2'')-Ia,aph(3')-IIb,arr-2,blaOXA,blaOXA-10,blaOXA-488,blaPDC-35,catB7,cmlA,cmlA1,cmlA1=PARTIAL_END_OF_CONTIG,cmlA5,crpP,dfrA33,fosA,gyrA_T83I=POINT,mexA,mexE,mexX,parC_S87L=POINT,sul1,sul1=PARTIAL_END_OF_CONTIG,tmexC=PARTIAL_END_OF_CONTIG,tmexD3,toprJ1	aadA1,ant(2'')-Ia,aph(3')-IIb,arr-2,blaOXA,blaOXA-10,blaOXA-488,blaPDC-35,catB7,cmlA,cmlA1,cmlA1=PARTIAL_END_OF_CONTIG,cmlA5,crpP,dfrA33,fosA,gyrA_T83I=POINT,parC_S87L=POINT,sul1,sul1=PARTIAL_END_OF_CONTIG,tmexC=PARTIAL_END_OF_CONTIG,tmexD3,toprJ1	5	merC,merP,merR,merT,qacEdelta1	0	NULL	3.10.18	2021-12-21.1	NUCLEOTIDE	1
PDT001454988.1|SAMN19868454|GCA_025696865.1|Pseudomonas aeruginosa||ps154|Pathogen: clinical or host-associated	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_025696865.1	Scaffold	676190	6595601	28	SPAdes v. 1	Pathogen: clinical or host-associated	PRJNA739634	University College Dublin	SAMN19868454	CFS3349,ps154	Ahmed Aqahtani	NULL	clinical	36689668	Saudi Arabia: Riyadh	Homo sapiens	infection	NULL	NULL	NULL	NULL	CFS3349	Pseudomonas aeruginosa	NULL	NULL	287	NULL	NULL	ps154	NULL	NULL	PDT001454988.1	2022-10-14	287	JAHVZT	JAHVZT000000000.1	NULL	NULL	NULL	1	0	0	1	8	5	ceftazidime=R	aph(3')-IIb,blaOXA-488,blaPDC-19a,catB7,fosA,mexA,mexE,mexX	aph(3')-IIb,blaOXA-488,blaPDC-19a,catB7,fosA	6	merA,merD,merE,merP,merR,merT	0	NULL	3.10.42	2022-10-11.2	COMBINED	1
PDT001009339.1|SAMN18511087|GCA_018067405.1|Pseudomonas aeruginosa||2020EL-00116|Microbe	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	GCA_018067405.1	Contig	137127	7136454	165	SPAdes v. 3.15.2	Microbe	PRJNA288601	Centers for Disease Control and Prevention.  Division of Healthcare Quality Promotion	SAMN18511087	2020EL-00116,SRS8589041	NULL	2020	clinical	26372868	USA	Homo sapiens	NULL	blood	NULL	NULL	NULL	2020EL-00116	Pseudomonas aeruginosa	NULL	NULL	287	NULL	NULL	2020EL-00116	NULL	NULL	PDT001009339.1	2021-04-17	287	JAGKLW	JAGKLW000000000.1	17	NULL	NULL	0	0	0	0	19	16	NULL	aac(3)-Ic,aac(6')-Ib3,aph(3')-IIb,blaKPC-2,blaOXA-488,blaPDC-35,blaVEB-5,catB7,cmlA5,crpP=PARTIAL,fosA,gyrA_T83I=POINT,mexA,mexE,mexX,mph(A),parC_S87L=POINT,sul1,tet(A)=PARTIAL	aac(3)-Ic,aac(6')-Ib3,aph(3')-IIb,blaKPC-2,blaOXA-488,blaPDC-35,blaVEB-5,catB7,cmlA5,crpP=PARTIAL,fosA,gyrA_T83I=POINT,mph(A),parC_S87L=POINT,sul1,tet(A)=PARTIAL	5	merD,merE,merP=HMM,qacEdelta1,smr	0	NULL	3.11.14	2023-04-17.1	COMBINED	1
